frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags
"1784065132.438034253","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065132.438053772","127.0.0.1","127.0.0.1","57668","34719","164","0x0018"
"1784065132.438096080","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065132.439610267","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065132.482026271","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065132.595134716","127.0.0.1","127.0.0.1","34719","57668","111","0x0018"
"1784065132.595212374","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065132.596453744","127.0.0.1","127.0.0.1","57668","34719","110","0x0018"
"1784065132.638013660","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065132.638023222","127.0.0.1","127.0.0.1","57668","34719","947","0x0018"
"1784065132.638045330","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065132.639737312","127.0.0.1","127.0.0.1","34719","57668","206","0x0018"
"1784065132.642050725","127.0.0.1","127.0.0.1","57668","34719","146","0x0018"
"1784065132.647025399","127.0.0.1","127.0.0.1","34719","57668","226","0x0018"
"1784065132.648215464","127.0.0.1","127.0.0.1","57668","34719","146","0x0018"
"1784065132.648440896","127.0.0.1","127.0.0.1","34719","57668","753","0x0018"
"1784065132.649459746","127.0.0.1","127.0.0.1","57668","34719","146","0x0018"
"1784065132.690017729","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065132.702149464","127.0.0.1","127.0.0.1","34719","57662","234","0x0018"
"1784065132.702176836","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065132.703895227","127.0.0.1","127.0.0.1","57668","34719","269","0x0018"
"1784065132.703991216","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065132.705686359","127.0.0.1","127.0.0.1","34719","57668","155","0x0018"
"1784065132.710736204","127.0.0.1","127.0.0.1","57668","34719","110","0x0018"
